"Subject","n_trials","n_explores","n_corrects","n_selects","n_outoftimes","StartDate","StartTime","tm_accuracy","tm_select_made","tm_nodesturns_count","tm_nodes_count","tm_turns_count","tm_average_RT","tm_trial_duration","tm_path_dist_trav","tm_euc_dist_trav","tm_path_efficiencies","tm_path_efficiencies_acc_only","ts_accuracy","ts_select_made","ts_nodesturns_count","ts_nodes_count","ts_turns_count","ts_average_RT","ts_trial_duration","ts_path_dist_trav","ts_euc_dist_trav","ts_path_efficiencies","ts_path_efficiencies_acc_only","em_nodesturns_count","em_nodes_count","em_turns_count","em_average_RT","em_trial_duration","em_path_dist_trav","em_euc_dist_trav","em_path_efficiencies","em_path_efficiencies_acc_only","es_nodesturns_count","es_nodes_count","es_turns_count","es_average_RT","es_trial_duration","es_path_dist_trav","es_euc_dist_trav","es_path_efficiencies","es_path_efficiencies_acc_only","enodes_A","enodes_B","enodes_C","enodes_D","enodes_E","enodes_F","enodes_G","enodes_H","enodes_I","enodes_J","enodes_K","enodes_L","enodes_M","enodes_N","enodes_O","enodes_P","enodes_Q","enodes_R","enodes_S","enodes_T","enodes_U","enodes_V","enodes_W","enodes_X","enodes_Y","enodes_Z","lm_bwstair","lm_person","lm_philsbar","lm_starrynight","obj_chair","obj_chicken","obj_clock","obj_guitar","obj_lamp","obj_snowman","obj_spaceship","obj_trophy","obj_umbrella"
"2","48","2","44","45","3","2017-02-07","15:10:46","0.916666666666667","0.9375","13.1041666666667","7.33333333333333","5.77083333333333","295.458758887276","30544.2291666667","21.3229166666667","9.41124357101863","1.08626939392782","1.0439018784607","0.279310193865464","0.244623027395041","3.56841691661444","1.68008780587831","2.29003004099345","109.087037515846","8373.65737282277","6.04063331833052","3.28744463088749","0.25454588474427","0.105522227999837","178","92.5","85.5","319.420903954802","484121","293.25","11.8670137793338","NaN","NaN","0","3.53553390593274","3.53553390593274","27.2096287382013","1828.57813614841","10.6066017177982","2.86757178152645",NA,NA,"8","10","22","14","27","13","24","24","5","17","4","10","19","2","4","8","11","28","8","27","21","10","5","25","2","8","27","24","33","39","4","4","5","4","4","5","5","4","5"
"3","48","2","48","46","2","2017-02-07","13:11:09","1","0.958333333333333","12.9166666666667","7.625","5.29166666666667","322.517483618964","30555.1666666667","21.859375","9.13262809130729","1.06477160854872","1.06477160854872","0","0.201940936523459","3.17458882131169","1.97457240186648","1.58393978680597","102.115492618522","7503.30254758312","6.80091245638125","3.65646468891862","0.198272701324399","0.198272701324399","166","96","70","386.876946811637","480743.5","317.75","6.75594901040715","NaN","NaN","1.4142135623731","1.4142135623731","0","3.96513815809356","825.193613644701","5.30330085889911","5.3117140300996",NA,NA,"10","8","13","16","18","15","25","20","3","18","4","10","21","8","5","8","18","20","10","23","14","8","4","19","6","8","21","21","29","28","4","4","4","5","4","3","5","5","4"
"4","8","2","3","5","3","2017-02-21","16:17:14","0.375","0.625","15.75","8.5","7.25","556.248418014841","42931.75","27.59375","10.0361621174613","1.44985222113455","1.442791005291","0.517549169506766","0.517549169506766","2.86605752110555","1.0690449676497","2.71240536372107","224.352767054443","3328.96774004881","3.90726772456516","3.86404857290309","0.383865810920235","0.112748063155692","158.5","83","75.5","685.105253593926","486815.5","275.125","10.486417921056","NaN","NaN","9.19238815542512","4.24264068711928","4.94974746830583","276.549993223098","9399.57044231278","23.864853865046","2.32003844147284",NA,NA,"9","9","12","9","15","10","29","25","2","19","3","12","14","2","3","8","22","33","9","16","20","6","4","16","2","8","21","22","29","36","4","3","4","5","3","2","6","3","3"
"5","48","2","38","39","9","2017-03-07","15:14:27","0.791666666666667","0.8125","14.4583333333333","8.125","6.33333333333333","223.858430370011","33410.8125","24.1041666666667","9.13660954167655","1.42094997835275","1.13599215470251","0.410414079086058","0.394442779605583","4.10478876193914","2.32127074516103","2.40861338527301","95.1452577202023","9543.94880061584","8.32019354146139","3.02849436639117","0.951083905053615","0.328945429486943","171","81.5","89.5","515.216355676014","481032.5","258","14.1778092190296","NaN","NaN","15.556349186104","0.707106781186548","16.2634559672906","171.027334113923","1235.3155467329","10.2530483272049","2.71190919789023",NA,NA,"10","12","11","19","22","12","26","27","2","15","2","6","17","2","4","6","14","27","15","27","24","8","5","21","2","6","31","23","30","39","3","4","5","5","2","2","3","4","4"
"6","48","2","11","31","17","2017-03-24","14:23:26","0.229166666666667","0.645833333333333","13.9583333333333","7.08333333333333","6.875","579.149066934223","36616.9375","22.0833333333333","8.52729356900932","1.50378884271554","1.11462914509455","0.424744395393794","0.483321105250062","4.1970523259724","2.00884568668372","2.87783163051924","287.929390256431","11344.8037358308","7.98541445208896","3.75656925483864","1.33337376339052","0.267877006740044","164.5","86","78.5","589.437857142857","481584.5","277.75","3.75","NaN","NaN","16.2634559672906","5.65685424949238","10.6066017177982","249.343023639634","1018.94087168982","18.7383297014435","1.06066017177982",NA,NA,"8","5","15","15","18","12","22","23","3","12","2","6","10","2","1","8","24","31","9","24","18","12","4","33","2","10","27","21","32","34","4","4","4","4","2","3","3","1","6"
"7","48","2","44","45","3","2017-03-23","13:35:48","0.916666666666667","0.9375","12.9166666666667","7.5","5.41666666666667","334.162907663551","31121.8958333333","21.4895833333333","8.93787183275333","1.07703142184986","1.04838163988092","0.279310193865464","0.244623027395041","3.01650307146236","1.96782631996117","1.48515108957481","176.435919014472","7876.92611025172","6.65805350071924","3.71524593516345","0.246071623510498","0.182210435170159","172","85.5","86.5","429.952386655261","481670","269.875","5.71041601603159","NaN","NaN","5.65685424949238","3.53553390593274","2.12132034355964","168.418027773073","1432.59833868395","23.864853865046","1.3582333553922",NA,NA,"8","21","18","20","21","8","19","26","3","19","4","6","17","4","3","8","18","24","7","24","12","10","3","25","6","10","30","25","35","35","4","2","3","4","4","3","3","3","5"
"8","48","2","7","29","19","2017-03-15","10:58:49","0.145833333333333","0.604166666666667","14.2708333333333","7.83333333333333","6.4375","352.0790878064","35152.1875","23.6197916666667","9.14026947302145","1.47981853411147","1.16300675675676","0.356673957637416","0.49420399497827","4.95399938727065","2.47827439393446","2.76687280271121","166.845130749077","12287.9485427645","9.85209632937749","3.23252338724327","1.28016598032755","0.319974302676997","177","95","82","405.293593729758","481190.5","293","10.0778714048897","NaN","NaN","14.142135623731","2.82842712474619","16.9705627484771","77.6647192544005","574.877813104663","16.6170093578839","2.49960314710387",NA,NA,"8","15","14","20","17","10","21","23","3","12","1","6","17","2","2","10","13","30","11","23","30","16","5","27","6","12","23","21","41","37","5","3","5","4","1","3","3","2","8"
"9","48","2","20","33","15","2017-03-16","09:34:00","0.416666666666667","0.6875","15.25","8.10416666666667","7.14583333333333","311.840766867542","36206.2708333333","24.9583333333333","9.59284802917662","1.30649534542182","1.1392995755003","0.498223795452014","0.468417435218867","4.5779304066915","2.2993022376673","2.72099468149748","138.506442747606","11056.7198759148","8.72791031345512","3.99809476189107","0.401805167169299","0.280192407361304","172","96","76","463.458538587849","481724.5","304.125","6.73004120848019","NaN","NaN","4.24264068711928","4.24264068711928","8.48528137423857","57.7046738338256","5213.49829768841","0.530330085889911","1.79599294662225",NA,NA,"12","14","14","13","18","17","26","24","2","11","1","6","14","4","3","12","17","27","10","25","22","10","4","24","2","12","27","21","34","33","6","5","4","6","1","2","3","3","5"
"10","48","2","29","37","11","2017-03-23","15:36:53","0.604166666666667","0.770833333333333","14.1041666666667","8.04166666666667","6.0625","352.326501892035","35220.2916666667","24.6666666666667","9.66855383046331","1.27259992690015","1.21700615860933","0.49420399497827","0.424744395393794","4.26883602319272","2.38754154098501","2.25413331932177","160.045260415469","10084.7498285585","8.19612215866237","3.61267039712035","0.333280647291684","0.277490858770548","169.5","88","81.5","394.378267455789","481650","289.25","9.72660332118435","NaN","NaN","3.53553390593274","2.82842712474619","6.36396103067893","62.9392542455951","782.060099992322","14.8492424049175","7.46065517663502",NA,NA,"14","17","25","16","17","15","32","25","6","17","4","10","19","6","4","4","14","26","8","16","13","8","3","11","6","3","25","21","20","37","2","4","3","7","4","6","5","4","4"
"11","48","2","46","47","1","2017-03-29","14:46:30","0.958333333333333","0.979166666666667","11.9166666666667","7.04166666666667","4.875","329.201297121656","27952.7708333333","19.78125","9.10681203963362","1.13463150259145","1.00422494105359","0.201940936523459","0.144337567297406","3.14089927042405","1.76199033172092","1.70886300385884","347.72186566804","7833.47461353092","6.10276031895718","3.33056213640585","0.894192078902416","0.0176144316589525","153","71","82","744.229191064844","480209","241.25","3.91311896062463","NaN","NaN","9.89949493661167","18.3847763108502","8.48528137423857","375.339763038925","28.2842712474619","67.5286976033153","5.53398590529466",NA,NA,"2","8","11","8","13","12","5","8","2","22","4","2","18","6","3","8","22","47","15","30","24","8","3","13","4","8","34","32","27","47","4","3","3","1","4","2","1","3","4"
