"","sub_id","LaHC_vol","LpHC_vol","RaHC_vol","RpHC_vol","LHC_vol","RHC_vol","totalHC_vol","aHC_vol","pHC_vol","Lpa_ratio","Rpa_ratio","meanpa_ratio"
"1","002",2198,2301,2168,2237,4499,4405,8904,4366,4538,1.04686078252957,1.03182656826568,1.03934367539763
"2","003",2262,2080,2536,2176,4342,4712,9054,4798,4256,0.919540229885057,0.858044164037855,0.888792196961456
"3","004",1909,2657,2124,2559,4566,4683,9249,4033,5216,1.39182818229439,1.20480225988701,1.2983152210907
"4","005",2753,1792,2500,2011,4545,4511,9056,5253,3803,0.650926262259353,0.8044,0.727663131129677
"5","006",1985,2133,2012,2211,4118,4223,8341,3997,4344,1.07455919395466,1.09890656063618,1.08673287729542
"6","007",2024,2145,2071,2101,4169,4172,8341,4095,4246,1.05978260869565,1.01448575567359,1.03713418218462
"7","008",2465,1949,2438,2138,4414,4576,8990,4903,4087,0.790669371196755,0.876948318293683,0.833808844745219
"8","009",2336,2402,2160,2621,4738,4781,9519,4496,5023,1.02825342465753,1.21342592592593,1.12083967529173
"9","010",2740,2357,2380,2181,5097,4561,9658,5120,4538,0.86021897810219,0.916386554621849,0.888302766362019
"10","011",2284,2051,2820,1676,4335,4496,8831,5104,3727,0.897985989492119,0.594326241134752,0.746156115313435
"11","012",2727,2321,2628,2154,5048,4782,9830,5355,4475,0.851118445177851,0.819634703196347,0.835376574187099
"12","013",2086,2125,2069,2134,4211,4203,8414,4155,4259,1.01869606903164,1.03141614306428,1.02505610604796
"13","014",1835,2344,2024,2364,4179,4388,8567,3859,4708,1.27738419618529,1.16798418972332,1.2226841929543
"14","015",2036,2408,1994,2494,4444,4488,8932,4030,4902,1.18271119842829,1.25075225677031,1.2167317275993
"15","017",2474,2359,2915,2054,4833,4969,9802,5389,4413,0.953516572352466,0.704631217838765,0.829073895095615
"16","018",2233,2434,2269,2406,4667,4675,9342,4502,4840,1.09001343484102,1.06037902159542,1.07519622821822
"17","019",2388,1908,2642,1785,4296,4427,8723,5030,3693,0.798994974874372,0.675624526873581,0.737309750873976
"18","020",1667,2202,1681,2371,3869,4052,7921,3348,4573,1.32093581283743,1.41046995835812,1.36570288559778
"19","021",2180,2329,2390,2256,4509,4646,9155,4570,4585,1.06834862385321,0.943933054393305,1.00614083912326
"20","022",2210,2487,2425,2174,4697,4599,9296,4635,4661,1.12533936651584,0.896494845360825,1.01091710593833
"21","023",1551,2014,1693,2055,3565,3748,7313,3244,4069,1.29851708575113,1.21382161842882,1.25616935208998
"22","024",2778,2505,3147,2447,5283,5594,10877,5925,4952,0.901727861771058,0.777565935811884,0.839646898791471
"23","025",1505,2568,1529,2723,4073,4252,8325,3034,5291,1.7063122923588,1.78090255068672,1.74360742152276
"24","026",1858,2240,1797,2074,4098,3871,7969,3655,4314,1.20559741657696,1.15414579855314,1.17987160756505
"25","027",1896,1908,2135,1938,3804,4073,7877,4031,3846,1.00632911392405,0.907728337236534,0.957028725580292
"26","028",1665,2183,1839,2022,3848,3861,7709,3504,4205,1.31111111111111,1.09951060358891,1.20531085735001
"27","029",1729,2377,1857,2121,4106,3978,8084,3586,4498,1.37478311162522,1.1421647819063,1.25847394676576
"28","030",1677,2815,1934,2565,4492,4499,8991,3611,5380,1.67859272510435,1.32626680455016,1.50242976482725
"29","031",2852,2085,1643,2863,4937,4506,9443,4495,4948,0.731065918653576,1.74254412659769,1.23680502262563
"30","032",2445,1942,2081,2045,4387,4126,8513,4526,3987,0.794274028629857,0.982700624699664,0.88848732666476
"31","033",1840,2480,2197,2408,4320,4605,8925,4037,4888,1.34782608695652,1.09604005461994,1.22193307078823
"32","034",1562,2054,1834,2082,3616,3916,7532,3396,4136,1.31498079385403,1.13522355507088,1.22510217446246
"33","035",1756,2482,2086,2308,4238,4394,8632,3842,4790,1.41343963553531,1.10642377756472,1.25993170655001
"34","036",1571,2424,2212,2111,3995,4323,8318,3783,4535,1.54296626352642,0.954339963833635,1.24865311368003
"35","037",1605,2555,2027,2209,4160,4236,8396,3632,4764,1.59190031152648,1.08978786383818,1.34084408768233
"36","038",2420,2157,2430,1896,4577,4326,8903,4850,4053,0.891322314049587,0.780246913580247,0.835784613814917
"37","039",2516,2679,2660,2574,5195,5234,10429,5176,5253,1.0647853736089,0.967669172932331,1.01622727327062
"38","040",2104,2120,2116,1931,4224,4047,8271,4220,4051,1.00760456273764,0.912570888468809,0.960087725603226
"39","041",2159,2165,1916,2368,4324,4284,8608,4075,4533,1.00277906438166,1.23590814196242,1.11934360317204
"40","043",2533,2735,2553,2440,5268,4993,10261,5086,5175,1.07974733517568,0.955738347042695,1.01774284110919
"41","044",1996,2542,2046,2439,4538,4485,9023,4042,4981,1.27354709418838,1.19208211143695,1.23281460281266
"42","045",2329,2128,2796,2107,4457,4903,9360,5125,4235,0.913696865607557,0.753576537911302,0.833636701759429
"43","046",2377,2011,2351,1925,4388,4276,8664,4728,3936,0.846024400504838,0.818800510421097,0.832412455462968
"44","047",2397,1955,2560,2088,4352,4648,9000,4957,4043,0.815602836879433,0.815625,0.815613918439716
"45","048",1603,2260,1794,2293,3863,4087,7950,3397,4553,1.40985651902682,1.27814938684504,1.34400295293593
"46","049",2113,1924,2055,1908,4037,3963,8000,4168,3832,0.910553715097018,0.928467153284672,0.919510434190845
"47","050",1883,2311,2040,2174,4194,4214,8408,3923,4485,1.22729686670207,1.0656862745098,1.14649157060594
"48","051",2531,1864,2278,1999,4395,4277,8672,4809,3863,0.736467799288819,0.877524143985953,0.806995971637386
"49","052",1894,1941,1878,2049,3835,3927,7762,3772,3990,1.02481520591341,1.09105431309904,1.05793475950623
"50","053",1984,1723,1950,1864,3707,3814,7521,3934,3587,0.868447580645161,0.955897435897436,0.912172508271299
"51","054",1909,2657,2124,2559,4566,4683,9249,4033,5216,1.39182818229439,1.20480225988701,1.2983152210907
"52","055",2601,2147,2404,2499,4748,4903,9651,5005,4646,0.825451749327182,1.03951747088186,0.932484610104523
"53","056",2629,2062,2497,2014,4691,4511,9202,5126,4076,0.784328642069228,0.806567881457749,0.795448261763489
"54","057",2183,2324,2248,2275,4507,4523,9030,4431,4599,1.06459001374256,1.01201067615658,1.03830034494957
"55","058",2456,2543,2753,2633,4999,5386,10385,5209,5176,1.03542345276873,0.956411187795133,0.995917320281931
