"","sub_id","LCA1","LCA23","LDG","LSUB","LERC","LPRC","LPHC","RCA1","RCA23","RDG","RSUB","RERC","RPRC","RPHC"
"1","081",885.315,450.745,1036.99,610.962,764.771,2719.12,2509.16,889.587,397.949,1047.06,538.025,704.346,2339.17,2313.84
"2","082",835.571,459.595,997.925,586.548,758.667,2874.45,2414.25,827.332,395.203,1098.94,466.919,901.489,2994.69,2397.77
"3","083",866.089,429.382,1073.3,643.616,882.263,2798.77,3449.71,871.277,357.056,980.225,618.286,1101.68,2996.83,3024.29
"4","085",875.854,419.617,1017.46,559.082,865.784,2216.49,2451.48,862.427,394.287,1041.87,462.341,1171.88,2840.88,2975.46
"5","086",768.433,378.418,938.11,660.706,629.272,2486.57,2459.11,914.612,444.336,1022.64,559.082,900.879,3133.54,3194.58
"6","088",753.784,350.342,779.114,580.139,625,1844.18,2332.76,857.239,321.35,920.105,572.205,872.498,1805.73,2422.18
"7","089",905.151,393.982,1056.82,564.27,748.901,2402.04,2580.26,903.931,401.611,1080.02,531.921,828.552,2331.85,2418.52
"8","092",794.983,421.143,1086.43,628.052,849.304,2707.21,2971.5,848.999,435.181,1105.04,549.316,788.879,2688.9,2854
"9","093",884.094,386.658,1083.68,618.286,607.605,1888.43,3213.81,832.825,426.636,1153.26,531.006,996.704,2413.94,2964.78
"10","094",715.332,264.282,728.455,341.187,941.772,2236.33,1116.03,641.785,251.465,737.305,292.053,766.602,1625.98,959.778
"11","095",850.83,315.857,974.426,627.136,901.794,2640.99,3132.02,777.588,370.483,1015.01,580.444,781.86,2617.19,3097.23
"12","096",771.79,294.495,896.606,553.284,654.907,1963.81,3016.05,762.634,343.933,912.781,468.445,800.476,2242.13,2899.78
"13","098",685.73,357.971,826.721,461.426,641.479,2659.91,914.307,760.803,399.475,949.402,432.129,627.441,3362.73,945.435
"14","099",588.379,315.857,760.498,483.093,672.913,2324.22,1335.45,598.145,392.456,825.806,420.227,1134.95,1760.86,1342.77
"15","100",512.695,300.598,840.759,418.701,1283.57,2778.32,1461.18,509.033,339.661,836.182,300.293,942.078,2212.52,1144.1
"16","101",736.389,348.206,756.531,487.366,1187.74,2853.39,1890.26,670.471,433.96,806.885,354.614,793.457,2879.33,1448.06
"17","102",700.073,281.677,806.58,422.974,1000.37,2505.49,1551.82,655.823,388.489,972.29,394.592,1336.36,2424.93,2402.65
"18","103",823.364,350.342,903.32,528.87,789.49,2944.95,2630.92,942.993,357.361,1046.75,455.933,638.428,2139.28,2890.01
"19","106",797.119,365.906,944.519,587.769,612.488,2108.15,2561.34,827.942,375.061,961.609,552.673,513.611,1995.24,2481.69
"20","107",716.248,292.969,877.991,491.943,1002.5,3564.15,2651.06,730.896,334.473,1068.12,416.26,1138.92,3981.32,2606.81
"21","108",671.692,232.239,849.915,369.263,877.38,3207.7,1143.19,614.929,312.805,805.664,321.655,899.658,2545.78,1183.47
"22","109",737,314.331,910.645,510.864,917.664,3272.09,2144.47,729.675,292.664,976.868,443.726,1038.21,1835.94,1759.03
"23","110",866.699,383.911,949.097,706.177,871.582,3422.24,2595.83,937.5,504.761,931.702,531.311,894.775,3142.4,1984.56
"24","111",528.87,386.353,837.097,335.999,859.07,3094.48,690.002,407.104,378.418,714.111,206.909,613.098,3402.4,326.538
"25","112",848.389,329.895,903.625,453.491,1268.31,2840.88,2544.56,687.561,349.426,850.83,361.328,1473.08,3175.05,2006.53
"26","113",633.85,294.8,624.695,459.595,1191.41,3737.49,2062.68,600.281,350.037,828.857,365.601,606.384,2273.56,979.919
