"subject","session","window_iter","window_length","window_start","x","y","letter_loc","face_dir","choose_onset","choose_rt_time","choose_reactiontime","num_moves","num_turns","num_north","num_south","num_west","num_east","mean_reactiontime","sd_reactiontime"
"2","1","1","36000","32965","2 2 2 2 -2.5 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -3.75 -3.75 -3.75","-5.75 -5.75 -2 -2 -2 -2 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75","U U R R Q Q T T X X X X V V","E N N W W S S W W S E S E N","32965 36718 39036 42455 44540 47492 49593 53196 55281 57199 59333 61518 63736 67322","34152 37301 39768 42835 45040 47840 50496 53586 55867 57558 59750 61978 64046 68657","1187 583 732 380 500 348 903 390 586 359 417 460 310 1335","6","8","3","4","4","3","606.428571428571","322.872614624909"
"2","1","2","36000","67525","-3.75 -5.25 -5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 -2.5 -5.5","-5.75 -5.75 -2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 3.75 3.75 3.75","X Z P P Z X T T Q H H G","N N E S E E E N N N W W","70341 72426 76628 81198 83900 88186 90304 91772 93857 96809 100912 102913","70651 72658 77071 82215 84144 88677 90781 92058 94145 97117 101182 103216","310 232 443 1017 244 491 477 286 288 308 270 303","9","3","5","1","2","4","389.083333333333","216.646112078634"
"2","1","3","36000","102085","-5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -1 -1","3.75 3.75 0 0 3.75 6 6 3.75 3.75 3.75 3.75 6 6 6 6","G G L L G A A G G H H B B C C","W S E N N W S S E E N N E E S","102913 105014 107099 111752 114454 117423 121109 123460 125345 127346 129464 131633 133501 135285 137186","103216 105337 107390 112758 114750 117712 121765 123574 125618 127673 129934 131737 133588 136303 137681","303 323 291 1006 296 289 656 114 273 327 470 104 87 1018 495","8","7","4","4","2","5","403.466666666667","288.795000616272"
"2","1","4","36000","136645","-1 -1 -1 -1 2 5.5 5.5 5.5 5.5 3.5 5.5","6 3 6 6 6 6 6 1.25 1.25 -0.5 1.25","C I C C D E E M M O M","S E N E E E S S W E E","137186 139505 143691 148327 150379 152447 154081 156066 159752 161753 167624","137681 139747 144403 148594 150809 152819 154370 156309 160045 162000 168498","495 242 712 267 430 372 289 243 293 247 874","7","4","1","3","1","6","405.818181818182","211.385343948826"
"2","1","5","36000","171205","5.5 5.5 5.5 2 2 2 2 2 2 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75","1.25 -2 -2 -2 -2 -2 -2 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75","M S S R R R R U U T T T X X X","S S W W N W S S W W N W W S E","174295 176330 179632 181883 184719 186770 189022 190723 193708 195776 198645 200346 202698 204499 206550","174616 176592 180198 182396 185009 187334 189034 191020 194067 196057 198650 200708 203162 204786 206867","321 262 566 513 290 564 12 297 359 281 5 362 464 287 317","5","10","2","5","7","1","326.666666666667","165.217893646398"
"2","1","6","36000","205765","-3.75 -2.5 2 3.5 2 -2.5 -3.75 -3.75 -3.75 -0.5 -0.5 -3.75","-5.75 -5.75 -5.75 -7.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -7.75 -7.75","X T U W U T X X V Y Y V","E E E W W W W S E S W N","206550 208635 209803 212704 218625 224980 227598 229199 231284 234870 237104 240774","206867 208781 210172 212969 219215 225008 227869 229522 231601 235152 237508 241044","317 146 369 265 590 28 271 323 317 282 404 270","9","3","1","2","5","4","298.5","135.427605618782"
"2","1","7","36000","240325","-3.75 -3.75 -5.25 -5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 2 2 2","-7.75 -5.75 -5.75 -2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 -2 -2 -2 -2","V X Z P P Z X T T Q Q R R R","N N N E S E E E N N E E S E","240774 244543 246628 250914 255300 257385 261738 263055 264607 266641 269543 271595 274430 276314","241044 244860 246933 251168 255691 257721 261972 263622 264849 266869 269842 271950 274554 276594","270 317 305 254 391 336 234 567 242 228 299 355 124 280","9","5","5","2","0","7","300.142857142857","100.575923975455"
"2","1","8","36000","274885","2 2 2 2 4 2 2 2 2 2 2","-2 -2 3 3 4.5 3 3 3 3 6 6","R R J J K J J J J D D","E N N E E W S E N N E","276314 278349 280134 283486 285437 292459 299480 301732 304384 306285 309137","276594 278427 280223 283740 285768 293119 300040 302611 304508 306663 309388","280 78 89 254 331 660 560 879 124 378 251","4","7","4","1","1","5","353.090909090909","252.622031717526"
"2","1","9","36000","309445","5.5 5.5 5.5 5.5 3.5 5.5 5.5 5.5 5.5 8.5 8.5 8.5","6 6 1.25 1.25 -0.5 1.25 1.25 6 6 6 6 1.5","E E M M O M M E E F F N","E S S W E E N N E E S S","311155 312506 314440 318627 320628 326265 332353 334070 337206 339241 341325 343077","311234 312733 315208 318926 320635 326565 332373 334337 337487 339541 341343 343233","79 227 768 299 7 300 20 267 281 300 18 156","7","5","2","4","1","5","226.833333333333","207.783468295651"
"2","1","10","36000","344005","8.5 8.5 8.5 5.5 5.5 5.5 5.5 5.5 2 2 2 2 3.5","1.5 6 6 6 6 1.25 -2 -2 -2 -2 -5.75 -5.75 -7.75","N F F E E M S S R R U U W","N N W W S S S W W S S E W","346696 350448 354201 356169 358154 360188 363841 366743 368594 371062 372847 376016 377784","347286 350707 354432 356402 358390 360404 364139 366897 368736 371161 373321 376027 377854","590 259 231 233 236 216 298 154 142 99 474 11 70","7","6","2","5","5","1","231.769230769231","157.861835078524"
"2","1","11","36000","378565","2 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -3.75 -3.75 -3.75 -2.5 -2.5 -2.5","-5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -5.75 -5.75 -5.75 -5.75 -2","U T T T X X V V X X T T Q","W W N W W S E N N E E N N","383521 389725 392327 394345 396280 397697 399548 403034 404985 406803 408705 409939 412174","383958 389737 392655 394589 396378 397781 399774 403291 405041 406939 408945 410367 412546","437 12 328 244 98 84 226 257 56 136 240 428 372","7","6","5","1","4","3","224.461538461538","140.78329409925"
"2","1","12","36000","413125","-2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5","-2 -2 3.75 3.75 3.75 3.75 0 0 3.75 6 6 3.75 3.75 3.75","Q Q H H G G L L G A A G G H","E N N W W S E N N W S S E E","415209 417110 419629 423481 425299 427234 429119 433805 435756 438975 442728 444863 446647 448732","415355 417900 419690 423567 425436 427357 429438 434057 436003 439322 443176 444895 446993 448854","146 790 61 86 137 123 319 252 247 347 448 32 346 122","7","7","4","3","3","4","246.857142857143","200.058398067571"
"2","1","13","36000","447685","-2.5 -2.5 -2.5 -2.5 -2.5 -2.5 -1 -1 -1 -1 -1 2 5.5 5.5 5.5","3.75 3.75 3.75 3.75 6 6 6 6 3 6 6 6 6 6 6","H H H H B B C C I C C D E E E","E S W N N E E S E N E E E S E","448732 450650 452551 455370 457338 459122 461107 463008 465110 469563 473799 475884 477785 479803 481671","448854 450790 453614 455581 457354 459408 462149 463281 465621 469860 474123 476160 478541 479983 482193","122 140 1063 211 16 286 1042 273 511 297 324 276 756 180 522","7","8","3","3","1","8","401.266666666667","321.047051884626"
"2","1","14","29880","482245","8.5 8.5 8.5 5.5 5.5 5.5 2 2 2 2 4 2","6 6 6 6 6 6 6 6 3 3 4.5 3","F F F E E E D D J J K J","E S W W S W W S S E E W","483956 485774 487959 490244 492011 494046 496648 498899 500767 503352 505320 512125","484019 486229 488468 490247 492257 494891 496774 499043 501065 503565 505425 512477","63 455 509 3 246 845 126 144 298 213 105 352","6","6","0","4","5","3","279.916666666667","235.506980530913"
"2","2","1","36000","31023","2 2 2 -1 -1 -1 -1 -1 -2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5","6 6 6 6 6 3 6 6 6 6 3.75 3.75 3.75 3.75 0","D D D C C I C C B B H H G G L","W S W W S E N W W S S W W S E","31023 35159 37227 39578 41563 43581 47734 52104 54238 55589 57591 59475 61510 63528 65579","32980 35495 37837 39767 41809 43813 48176 52483 54501 55897 57815 59744 61732 63818 65881","1957 336 610 189 246 232 442 379 263 308 224 269 222 290 302","8","7","1","5","7","2","417.933333333333","438.751876946196"
"2","2","2","36000","65583","-5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -2.5 2","0 3.75 6 6 3.75 3.75 3.75 3.75 -2 -5.75 -5.75 -5.75","L G A A G G H H Q T T U","N N W S S E E S S S E E","70233 72284 75219 78622 80723 82624 84492 86510 88445 92865 96067 98835","70575 72563 75232 79036 80862 82751 84713 86693 88985 93381 96167 99619","342 279 13 414 139 127 221 183 540 516 100 784","7","5","2","5","1","4","304.833333333333","223.928086400049"
"2","2","3","36000","100143","3.5 2 2 2 -2.5 -3.75 -3.75 -3.75 -3.75 -3.75 -5.25","-7.75 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -5.75 -5.75","W U U U T X X V V X Z","W W N W W W S E N N N","102154 108409 114479 116347 118582 121184 122818 124820 128339 130557 132325","102745 108710 114655 116840 118591 121488 123067 125080 128860 130564 132430","591 301 176 493 9 304 249 260 521 7 105","7","4","4","1","5","1","274.181818181818","197.885733786859"
"2","2","4","36000","134703","-5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5 -5.5","-2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 3.75 3.75 3.75 3.75 0 0","P P Z X T T Q H H G G L L","E S E E E N N N W W S E N","136394 140697 142815 147152 148903 150254 152172 154890 158926 160928 163096 164880 169634","136570 141120 143121 147463 149255 150385 152240 155140 159192 161306 163116 165279 169828","176 423 306 311 352 131 68 250 266 378 20 399 194","8","5","4","2","2","5","251.846153846154","127.404765840899"
"2","2","5","36000","169263","-5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -3.75 -3.75","0 3.75 3.75 3.75 3.75 -2 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -5.75","L G G H H Q T T T T X X V V X","N N E E S S S E N W W S E N N","169634 171535 174354 176188 178390 180441 185528 188497 190715 193133 194834 196502 198487 201939 203957","169828 171680 174461 176597 178685 181675 185809 188583 191339 193137 195171 196712 198672 202251 204155","194 145 107 409 295 1234 281 86 624 4 337 210 185 312 198","7","8","5","4","2","4","308.066666666667","296.14028207366"
"2","2","6","36000","203823","-3.75 -5.25 -5.25 -5.25 -5.25 -3.75 -2.5 2 3.5 2 2","-5.75 -5.75 -2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -7.75 -5.75 -5.75","X Z P P Z X T U W U U","N N E S E E E E W W N","203957 205925 209911 214397 216299 220602 221869 223387 227406 233394 239481","204155 205952 210270 214591 216570 220820 222377 224881 227719 233709 239791","198 27 359 194 271 218 508 1494 313 315 310","9","2","3","1","2","5","382.454545454545","387.533576257945"
"2","2","7","36000","238383","2 2 2 2 2 5.5 5.5 5.5 5.5 3.5 5.5 5.5 5.5","-5.75 -2 -2 -2 -2 -2 -2 1.25 1.25 -0.5 1.25 1.25 1.25","U R R R R S S M M O M M M","N N W N E E N N W E E S W","239481 241499 244468 246736 248804 250789 253424 255459 258094 259995 265916 272003 274272","239791 241777 245032 247052 249067 251193 253722 255731 258298 260273 266199 272256 274735","310 278 564 316 263 404 298 272 204 278 283 253 463","5","8","5","1","3","4","322","98.3124271561502"
"2","2","8","36000","272943","5.5 5.5 5.5 5.5 5.5 5.5 8.5 8.5 8.5 5.5 5.5 5.5 2 2 2 2","1.25 1.25 6 6 6 6 6 6 6 6 6 6 6 6 3 3","M M E E E E F F F E E E D D J J","W N N W S E E S W W S W W S S E","274272 276440 278324 281226 283496 285946 287931 289765 291733 294769 296820 298722 300723 303258 304976 307928","274735 276620 278364 281489 284151 286161 287994 290000 293001 295051 296914 298950 301125 303260 305630 308240","463 180 40 263 655 215 63 235 1268 282 94 228 402 2 654 312","5","11","2","5","6","3","334.75","315.583797640711"
"2","2","9","36000","307503","2 4 2 2 2 2 2 2 2 2 2 2","3 4.5 3 3 -2 -2 -2 -2 -2 -2 -2 -5.75","J K J J R R R R R R R U","E E W S S E S W N E S S","307928 310013 316984 323188 325039 328675 330643 332561 334529 337298 339316 341484","308240 310285 317288 323333 325334 328883 330796 332743 335533 337614 339718 341624","312 272 304 145 295 208 153 182 1004 316 402 140","4","8","1","5","2","4","311.083333333333","233.431499912748"
"2","2","10","36000","342063","2 2 2 2 2 4 2 2 2 2 -1","-5.75 -5.75 -2 3 3 4.5 3 3 6 6 6","U U R J J K J J D D C","E N N N E E W N N W W","344319 346204 348455 351241 354743 356761 363516 369703 371404 374356 376274","344442 346734 348553 351469 355055 356821 363806 369705 371900 374471 376519","123 530 98 228 312 60 290 2 496 115 245","6","5","5","0","3","3","227.181818181818","171.523653285381"
"2","2","11","36000","376623","-1 -1 -1 -1 -1 -1 -2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5 -5.5","6 3 6 6 6 6 6 6 3.75 3.75 3.75 3.75 0 0","C I C C C C B B H H G G L L","S E N E S W W S S W W S E N","378326 380260 384480 388783 391368 393586 395587 397105 398923 400824 403276 405244 407262 411849","378509 380549 384850 389115 391760 393821 396012 397214 399171 401507 403450 405507 407484 412098","183 289 370 332 392 235 425 109 248 683 174 263 222 249","6","8","2","5","4","3","298.142857142857","141.36796348148"
